date,open,high,low,close,volume,open_interest,qrs_raw,qrs_r2,qrs_zscore,qrs_adjusted,qrs_slope,qrs_percentile,daily_return,raw_signal,position,benchmark_return,strategy_return,strategy_nav,benchmark_nav,strategy_drawdown,benchmark_drawdown,turnover
2022-12-16,99.88,100.09,99.835,99.995,65708,151198.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-12-19,100.2,100.34,100.1,100.19,61962,148172.0,,,,,,,0.0019500975048751812,0.0,0.0,0.0019500975048751812,0.0,1.0,1.0019500975048752,0.0,0.0,0.0
2022-12-20,100.205,100.28,100.015,100.02,49735,149041.0,,,,,,,-0.0016967761253617875,0.0,0.0,-0.0016967761253617875,-0.0,1.0,1.000250012500625,0.0,-0.0016967761253616764,0.0
2022-12-21,100.035,100.31,99.96,100.275,58482,150758.0,,,,,,,0.002549490101979801,0.0,0.0,0.002549490101979801,0.0,1.0,1.0028001400070006,0.0,0.0,0.0
2022-12-22,100.275,100.37,100.22,100.255,45882,150325.0,,,,,,,-0.0001994515083520998,0.0,0.0,-0.0001994515083520998,-0.0,1.0,1.0026001300065004,0.0,-0.00019945150835221082,0.0
2022-12-23,100.28,100.5,100.195,100.485,57026,153593.0,,,,,,,0.00229414991770982,0.0,0.0,0.00229414991770982,0.0,1.0,1.0049002450122506,0.0,0.0,0.0
2022-12-26,100.405,100.435,100.135,100.27,58278,151745.0,,,,,,,-0.002139622829278043,0.0,0.0,-0.002139622829278043,-0.0,1.0,1.0027501375068752,0.0,-0.002139622829278043,0.0
2022-12-27,100.2,100.225,99.915,99.99,57044,152913.0,,,,,,,-0.002792460357036064,0.0,0.0,-0.002792460357036064,-0.0,1.0,0.9999499974998748,0.0,-0.0049261083743844525,0.0
2022-12-28,100.045,100.08,99.945,100.06,39813,150770.0,,,,,,,0.0007000700070007859,0.0,0.0,0.0007000700070007859,0.0,1.0,1.000650032501625,0.0,-0.004229486988107767,0.0
2022-12-29,100.15,100.24,100.12,100.205,37486,151508.0,,,,,,,0.0014491305216870476,0.0,0.0,0.0014491305216870476,0.0,1.0,1.0021001050052503,0.0,-0.0027864855451061876,0.0
2022-12-30,100.17,100.32,100.115,100.225,41713,150029.0,,,,,,,0.00019959083878040573,0.0,0.0,0.00019959083878040573,0.0,1.0,1.0023001150057502,0.0,-0.0025874508633130233,0.0
2023-01-03,100.28,100.43,100.155,100.37,53874,149421.0,,,,,,,0.0014467448241457515,0.0,0.0,0.0014467448241457515,0.0,1.0,1.0037501875093755,0.0,-0.0011444494203114441,0.0
2023-01-04,100.435,100.54,100.38,100.53,56437,152908.0,,,,,,,0.001594101823253924,0.0,0.0,0.001594101823253924,0.0,1.0,1.0053502675133756,0.0,0.0,0.0
2023-01-05,100.45,100.545,100.415,100.435,47104,154132.0,,,,,,,-0.0009449915448125346,0.0,0.0,-0.0009449915448125346,-0.0,1.0,1.0044002200110005,0.0,-0.0009449915448125346,0.0
2023-01-06,100.385,100.39,100.24,100.35,55292,150938.0,,,,,,,-0.0008463185144621521,0.0,0.0,-0.0008463185144621521,-0.0,1.0,1.0035501775088753,0.0,-0.001790510295434311,0.0
2023-01-09,100.4,100.405,100.18,100.355,50536,153137.0,,,,,,,4.9825610363818384e-05,0.0,0.0,4.9825610363818384e-05,0.0,1.0,1.0036001800090004,0.0,-0.001740773898338821,0.0
2023-01-10,100.29,100.305,100.04,100.065,64900,154276.0,,,,,,,-0.002889741417966274,0.0,0.0,-0.002889741417966274,-0.0,1.0,1.00070003500175,0.0,-0.004625484929871693,0.0
2023-01-11,100.035,100.23,99.985,100.18,63755,152791.0,0.7699437272426376,0.786710509059654,,,,,0.0011492529855594569,0.0,0.0,0.0011492529855594569,0.0,1.0,1.0018500925046252,0.0,-0.003481547796677642,0.0
2023-01-12,100.2,100.28,100.12,100.19,51540,151643.0,0.7396609645905006,0.7246052154007379,,,,,9.982032341770974e-05,0.0,0.0,9.982032341770974e-05,0.0,1.0,1.0019500975048752,0.0,-0.003382075002486884,0.0
2023-01-13,100.19,100.22,100.02,100.025,59637,152337.0,0.754955059968619,0.7330069294406074,,,,,-0.0016468709452039931,0.0,0.0,-0.0016468709452039931,-0.0,1.0,1.0003000150007502,0.0,-0.005023376106634725,0.0
