portfolio,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,turnover
QRS Strategy,0.28932846922284217,0.09129332808084897,0.025564555257350758,3.5710900174803064,-0.01545501938017746,5.907034202619079,0.5228710014121692,428.0
Long-only Benchmark,0.08270676691709977,0.028772463061614965,0.025575342278628083,1.1250079372606692,-0.02272623556793163,1.2660461507410845,0.5078283293424203,0.0
