S,trend_method,ma_len_days,compare_lag_days,ma_short,ma_long,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,turnover
0.2,price_compare,3.0,,,,0.15402056132022213,0.12225561834188291,0.024072513170350657,5.07863958684884,-0.009742789231778737,12.548318087710777,0.5275846768229552,217.0
0.3,price_compare,3.0,,,,0.13693149308635988,0.10955349157488163,0.024077007323294052,4.550129096355372,-0.012921683999212563,8.478267351341955,0.5253660701079722,217.0
0.2,price_compare,5.0,,,,0.1336830550150132,0.10711515429007659,0.023984284367262288,4.466055882671448,-0.012887272713094422,8.311700751179082,0.5271698675003722,161.0
0.3,price_compare,5.0,,,,0.1196908420147027,0.09654146636746717,0.023985765332115678,4.024948340431032,-0.012887272713089648,7.491225530550748,0.525571354127894,161.0
0.4,price_compare,3.0,,,,0.11968546815661618,0.0965396434492557,0.024081100238240324,4.008938233476251,-0.020205302761794663,4.777935999642547,0.5241088596361485,205.0
0.4,price_compare,5.0,,,,0.10885422710806236,0.0882605864240833,0.023960377199611006,3.683605883529922,-0.01500205257573095,5.883234042711182,0.5242790975646198,151.0
0.5,price_compare,5.0,,,,0.09209975713072605,0.07529792850869424,0.02396362842427321,3.142175599435666,-0.014873511787161786,5.06255211184815,0.5200956222919468,143.0
0.5,price_compare,3.0,,,,0.09137841552526371,0.07473829597802685,0.024086797418324205,3.1028739387814652,-0.012628969040058835,5.918004529186704,0.5175269930483656,189.0
0.6,price_compare,5.0,,,,0.07431629224837044,0.061319762369338685,0.023966556490576524,2.5585553933644647,-0.016074545574318866,3.814712029390418,0.5174062453309428,131.0
0.6,price_compare,3.0,,,,0.06938113428383885,0.05740250693078246,0.024090291820362812,2.3828066242959256,-0.013781829017584735,4.165086278282841,0.5137553616328946,173.0
0.2,price_compare,10.0,,,,0.0651839990004277,0.054035526294903886,0.023293730799437345,2.319745461135367,-0.010603753452460118,5.0958867100373215,0.514892004547177,121.0
0.2,price_compare,20.0,,,,0.06092344356346069,0.05061327200330397,0.022863680744456116,2.2136974605707986,-0.009466288598119932,5.346685924339567,0.5129191863661352,73.0
0.4,price_compare,20.0,,,,0.056911443947418094,0.047387481810305936,0.022864188807304113,2.0725634401325315,-0.009466288598119377,5.0059198300504155,0.5117411450561533,65.0
0.3,price_compare,20.0,,,,0.05610826140371694,0.04674023135626255,0.02286428671932625,2.044246205010845,-0.009466288598120598,4.937545572563907,0.512212361580146,73.0
0.7,price_compare,5.0,,,,0.05657516915761707,0.04714238325640281,0.023968913981465625,1.966813485703043,-0.016830039675721054,2.8010856875406076,0.5143433437920215,115.0
0.3,price_compare,10.0,,,,0.054127484557676686,0.045151837240187356,0.02329512075387198,1.9382529808385938,-0.011201275660686738,4.0309549204879715,0.5138309965896173,121.0
0.4,price_compare,10.0,,,,0.04907638875505871,0.04106232951672013,0.023295676891646144,1.76265878461961,-0.011201275660691734,3.6658618857867054,0.5133004926108374,117.0
0.7,price_compare,3.0,,,,0.04898780143619419,0.04100626112841518,0.02396974317639979,1.7107509591003573,-0.016497519799110516,2.485601570887406,0.5118780815777678,143.0
