S,trend_method,ma_len_days,compare_lag_days,ma_short,ma_long,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,turnover
0.2,price_compare,3.0,,,,1.745700134434863,0.48567031264397786,0.07166043477969425,6.777384398197898,-0.024806325567254484,19.57848659718816,0.5328087072273119,363.0
0.3,price_compare,3.0,,,,1.6667658794487723,0.47171858104442166,0.0716672834660088,6.582063086961485,-0.02480632556725393,19.0160602288927,0.5313992639574034,355.0
0.4,price_compare,3.0,,,,1.5137063167973759,0.44344737974902393,0.07168054744910864,6.186439634321435,-0.02919499061723352,15.189159865229115,0.5297940646777856,347.0
0.2,price_compare,5.0,,,,1.4501731087079328,0.4312002090565015,0.0716403721091842,6.018955462700929,-0.024806325567254373,17.38267152414173,0.5309355345911949,263.0
0.3,price_compare,5.0,,,,1.4137105010827389,0.42402888370991565,0.07164351772365236,5.918593854443399,-0.02480632556725426,17.093578916405804,0.5302279874213837,263.0
0.5,price_compare,3.0,,,,1.3356080904369976,0.4082993350592697,0.07169589202220052,5.694877677689545,-0.02919499061723374,13.985253169365688,0.5281105629942839,339.0
0.4,price_compare,5.0,,,,1.249289473946292,0.3902847251410586,0.0716575774138941,5.446524139195698,-0.024806325567254373,15.733274324846182,0.528479893077558,259.0
0.6,price_compare,3.0,,,,1.1819239739230194,0.37574411807093,0.07170897232532145,5.239848039744525,-0.03242924517908985,11.586582296192548,0.5266228173204918,319.0
0.5,price_compare,5.0,,,,1.07979233247171,0.352812012131448,0.07167185471357844,4.922601954998756,-0.024806325567253817,14.222663133841392,0.5264357875702661,255.0
0.7,price_compare,3.0,,,,1.0314877313232573,0.3415755695273811,0.07172153027462473,4.762524840441552,-0.036523099174729734,9.352316129944324,0.5252916764544672,287.0
0.6,price_compare,5.0,,,,0.926887140922136,0.3162883396895239,0.07168438237677136,4.412234983446187,-0.03134814014733889,10.089540821335563,0.5244703015055623,235.0
0.2,price_compare,10.0,,,,0.9002349134257841,0.30961301064735863,0.0714921729006732,4.330725981395415,-0.03637523254705577,8.511643471882598,0.5220390042809576,175.0
0.3,price_compare,10.0,,,,0.8658497255326716,0.3008788715409651,0.07149491336495464,4.208395498083782,-0.036375232547056324,8.271531217064723,0.5211669573489773,175.0
0.7,price_compare,5.0,,,,0.8647462199209124,0.3006096221946992,0.0716893400200413,4.193226246896142,-0.03990432828767576,7.5332585484853505,0.5233696293093282,227.0
