date,ret_strategy,ret_benchmark,ret_excess,nav_strategy,nav_benchmark,nav_excess,position,turnover
2024-03-20 13:20:00,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
2024-03-20 13:25:00,0.0005621135469364713,0.0005621135469364713,0.0,1.0005621135469365,1.0005621135469365,1.0,1.0,0.0
2024-03-20 13:30:00,0.0003745318352059712,0.0003745318352059712,0.0,1.0009368559115608,1.0009368559115608,1.0,1.0,0.0
2024-03-20 13:35:00,-0.00046798951703475034,-0.00046798951703475034,0.0,1.0004684279557805,1.0004684279557805,1.0,1.0,0.0
2024-03-20 13:40:00,0.00018728345350682574,0.00018728345350682574,0.0,1.0006557991380927,1.0006557991380927,1.0,1.0,0.0
2024-03-20 13:45:00,-0.0005617451549481123,-0.0005617451549481123,0.0,1.0000936855911562,1.0000936855911562,1.0,1.0,0.0
2024-03-20 13:50:00,9.367681498839708e-05,9.367681498839708e-05,0.0,1.0001873711823124,1.0001873711823124,1.0,1.0,0.0
2024-03-20 13:55:00,0.00028100412139386854,0.00028100412139386854,0.0,1.0004684279557807,1.0004684279557807,1.0,1.0,0.0
2024-03-20 14:00:00,-0.00028092518026034963,-0.00028092518026034963,0.0,1.0001873711823124,1.0001873711823124,1.0,1.0,0.0
2024-03-20 14:05:00,0.0,0.0,0.0,1.0001873711823124,1.0001873711823124,1.0,1.0,0.0
2024-03-20 14:10:00,9.36680404644008e-05,9.36680404644008e-05,0.0,1.0002810567734683,1.0002810567734683,1.0,1.0,0.0
2024-03-20 14:15:00,-0.0006556148730916256,-0.0006556148730916256,0.0,0.9996252576353758,0.9996252576353758,1.0,1.0,0.0
2024-03-20 14:20:00,9.372071227731205e-05,9.372071227731205e-05,0.0,0.9997189432265318,0.9997189432265318,1.0,1.0,0.0
2024-03-20 14:25:00,0.00037484771811446826,0.00037484771811446826,0.0,1.000093685591156,1.000093685591156,1.0,1.0,0.0
2024-03-20 14:30:00,0.0002810304449649692,0.0002810304449649692,0.0,1.0003747423646243,1.0003747423646243,1.0,1.0,0.0
2024-03-20 14:35:00,9.365049634757483e-05,9.365049634757483e-05,0.0,1.0004684279557803,1.0004684279557803,1.0,1.0,0.0
2024-03-20 14:40:00,-0.00018728345350693676,-0.00018728345350693676,0.0,1.0002810567734681,1.0002810567734681,1.0,1.0,0.0
2024-03-20 14:45:00,-0.0002809778027536014,-0.0002809778027536014,0.0,0.9999999999999999,0.9999999999999999,1.0,1.0,0.0
2024-03-20 14:50:00,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999,1.0,1.0,0.0
2024-03-20 14:55:00,-0.0006557991380925499,-0.0006557991380925499,0.0,0.9993442008619073,0.9993442008619073,1.0,1.0,0.0
2024-03-20 15:00:00,-0.0004687353520201887,-0.0004687353520201887,0.0,0.998875772906127,0.998875772906127,1.0,1.0,0.0
2024-03-20 15:05:00,0.0001875820671544126,0.0001875820671544126,0.0,0.9990631440884391,0.9990631440884391,1.0,1.0,0.0
2024-03-20 15:10:00,-0.00037509377344346895,-0.00037509377344346895,0.0,0.9986884017238147,0.9986884017238147,1.0,1.0,0.0
2024-03-20 15:15:00,-0.00046904315196993895,-0.00046904315196993895,0.0,0.9982199737680343,0.9982199737680343,1.0,1.0,0.0
