date,selection_score,train_sharpe,selected_N,selected_M,selected_n,selected_S,selected_trend_method,selected_ma_len_days,selected_compare_lag_days,date_dt
2023-05-31 09:35:00,-0.07591626808400617,4.324099032436177,16,600,2.0,0.5,price_compare,5,,2023-05-31 09:35:00
2023-06-01 09:50:00,-0.07805956732212589,4.7116143332265965,16,600,2.0,0.5,price_compare,5,,2023-06-01 09:50:00
2023-06-02 10:05:00,-0.06802599307105793,4.363861890046868,16,600,2.0,0.5,price_compare,5,,2023-06-02 10:05:00
2023-06-05 10:20:00,-0.0831826737852208,4.418571067880036,16,600,2.0,0.5,price_compare,5,,2023-06-05 10:20:00
2023-06-06 10:35:00,-0.0853754356199138,3.859473064704837,16,600,2.0,0.5,price_compare,5,,2023-06-06 10:35:00
2023-06-07 10:50:00,-0.056071056617123124,3.9515535382851037,16,600,2.0,0.5,price_compare,5,,2023-06-07 10:50:00
2023-06-08 11:05:00,-0.054277018361234275,3.8495932088374314,16,600,2.0,0.5,price_compare,5,,2023-06-08 11:05:00
2023-06-09 11:20:00,-0.061225017298861074,4.041424059941208,16,600,2.0,0.5,price_compare,5,,2023-06-09 11:20:00
2023-06-12 13:05:00,-0.06913692410254979,4.246132247858596,16,600,2.0,0.5,price_compare,5,,2023-06-12 13:05:00
2023-06-13 13:20:00,-0.06886857177085204,5.44156821654373,16,600,2.0,0.5,price_compare,5,,2023-06-13 13:20:00
2023-06-14 13:35:00,-0.0631862198912227,5.308688025974664,16,600,2.0,0.5,price_compare,5,,2023-06-14 13:35:00
2023-06-15 13:50:00,-0.05857372989717334,5.256118263738366,16,600,2.0,0.5,price_compare,5,,2023-06-15 13:50:00
2023-06-16 14:05:00,-0.03446354518733237,6.039160161862011,16,600,2.0,0.5,price_compare,5,,2023-06-16 14:05:00
2023-06-19 14:20:00,-0.029437899169053837,5.976415558264727,16,600,2.0,0.5,price_compare,5,,2023-06-19 14:20:00
2023-06-20 14:35:00,-0.03508246609371815,5.863013992883173,16,600,2.0,0.5,price_compare,5,,2023-06-20 14:35:00
2023-06-21 14:50:00,-0.031001564187990497,5.224890823499691,16,600,2.0,0.5,price_compare,5,,2023-06-21 14:50:00
2023-06-26 15:05:00,-0.03252737083330754,5.438718431437642,16,600,2.0,0.5,price_compare,5,,2023-06-26 15:05:00
2023-06-28 09:35:00,-0.033486002098050624,5.078885047628237,16,600,2.0,0.5,price_compare,5,,2023-06-28 09:35:00
2023-06-29 09:50:00,-0.03372362232937355,5.195994868132907,16,600,2.0,0.5,price_compare,5,,2023-06-29 09:50:00
2023-06-30 10:05:00,-0.040916565501239566,5.418465331131918,16,600,2.0,0.5,price_compare,5,,2023-06-30 10:05:00
2023-07-03 10:20:00,-0.03824248729625856,5.399128392540907,16,600,2.0,0.5,price_compare,5,,2023-07-03 10:20:00
2023-07-04 10:35:00,-0.043852279262073274,5.490341211755526,16,600,2.0,0.5,price_compare,5,,2023-07-04 10:35:00
2023-07-05 10:50:00,-0.029615509385153584,5.4714052293222295,16,600,2.0,0.5,price_compare,5,,2023-07-05 10:50:00
2023-07-06 11:05:00,-0.033926547407447195,5.295539593410047,16,600,2.0,0.5,price_compare,5,,2023-07-06 11:05:00
2023-07-07 11:20:00,-0.03879954007356874,5.0921572057375455,16,600,2.0,0.5,price_compare,5,,2023-07-07 11:20:00
2023-07-10 13:05:00,-0.04482890160915836,4.6775340586885275,16,600,2.0,0.5,price_compare,5,,2023-07-10 13:05:00
2023-07-11 13:20:00,-0.04826828845351909,4.430825705473677,16,600,2.0,0.5,price_compare,5,,2023-07-11 13:20:00
2023-07-12 13:35:00,-0.05619601152647198,4.4734626610506245,16,600,2.0,0.5,price_compare,5,,2023-07-12 13:35:00
2023-07-13 13:50:00,-0.07711727601594409,4.4639835590244425,16,600,2.0,0.5,price_compare,5,,2023-07-13 13:50:00
2023-07-14 14:05:00,-0.08239855725757013,4.2924257842199145,16,600,2.0,0.5,price_compare,5,,2023-07-14 14:05:00
