portfolio,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,turnover
QRS Strategy,0.9950296565151084,0.3658331266399414,0.07196778337250342,5.083290182030456,-0.024806325567254595,14.747574188208539,0.5274668725073974,250.0
Long-only Benchmark,0.06726625445002976,0.03683457954390168,0.07203539030042104,0.5113400425857952,-0.0972517585473669,0.37875489445222976,0.507912003087611,0.0
