date,selection_score,train_sharpe,selected_N,selected_M,selected_n,selected_S,selected_trend_method,selected_ma_len_days,date_dt
2024-05-30 09:50:00,-0.05371075292240981,2.36556478452178,16,600,2.0,0.5,price_compare,5,2024-05-30 09:50:00
2024-05-31 10:05:00,-0.05771851757578598,2.73434594524711,16,600,2.0,0.5,price_compare,5,2024-05-31 10:05:00
2024-06-03 10:20:00,-0.06533184820919254,3.2828491011236007,16,600,2.0,0.5,price_compare,5,2024-06-03 10:20:00
2024-06-04 10:35:00,-0.06881334899302602,3.532792363342622,16,600,2.0,0.5,price_compare,5,2024-06-04 10:35:00
2024-06-05 10:50:00,-0.07147061596984874,3.7392372700324974,16,600,2.0,0.5,price_compare,5,2024-06-05 10:50:00
2024-06-06 11:05:00,-0.061172414918371734,3.245727703331082,16,600,2.0,0.5,price_compare,5,2024-06-06 11:05:00
2024-06-07 11:20:00,-0.049278730570887795,3.876931887796807,16,600,2.0,0.5,price_compare,5,2024-06-07 11:20:00
2024-06-11 13:05:00,-0.04618004773038879,3.8644735028013897,16,600,2.0,0.5,price_compare,5,2024-06-11 13:05:00
2024-06-12 13:20:00,-0.04981511601640656,3.0249548050968964,16,600,2.0,0.5,price_compare,5,2024-06-12 13:20:00
2024-06-13 13:35:00,-0.03765914825760931,3.9259465483156686,16,600,2.0,0.5,price_compare,5,2024-06-13 13:35:00
2024-06-14 13:50:00,-0.03422690980898275,4.093258790340737,16,600,2.0,0.5,price_compare,5,2024-06-14 13:50:00
2024-06-17 14:05:00,-0.04421139044421144,4.103346004416987,16,600,2.0,0.5,price_compare,5,2024-06-17 14:05:00
2024-06-18 14:20:00,-0.05196163513993137,4.174295975048081,16,600,2.0,0.5,price_compare,5,2024-06-18 14:20:00
2024-06-19 14:35:00,-0.05431325193009295,3.9350143070575005,16,600,2.0,0.5,price_compare,5,2024-06-19 14:35:00
2024-06-20 14:50:00,-0.06496856085233978,4.471537445845761,16,600,2.0,0.5,price_compare,5,2024-06-20 14:50:00
2024-06-21 15:05:00,-0.049015420811414946,4.486385918235905,16,600,2.0,0.5,price_compare,5,2024-06-21 15:05:00
2024-06-25 09:35:00,-0.061862858057326914,3.798841404164029,16,600,2.0,0.5,price_compare,5,2024-06-25 09:35:00
