date,ret_strategy,ret_benchmark,ret_excess,nav_strategy,nav_benchmark,nav_excess,position,turnover
2024-01-02 09:35:00,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2024-01-02 09:40:00,-0.0,-0.00038863249939269373,0.00038863249939269373,1.0,0.9996113675006073,1.0003886324993927,0.0,0.0
2024-01-02 09:45:00,0.0,0.00019439179666624895,-0.00019439179666624895,1.0,0.9998056837503038,1.0001941651557567,0.0,0.0
2024-01-02 09:50:00,-0.0,-0.00014576551187994724,0.00014576551187994724,1.0,0.9996599465630314,1.00033995897022,0.0,0.0
2024-01-02 09:55:00,0.0,0.00014578676256205014,-0.00014578676256205014,1.0,0.9998056837503038,1.0001941226461402,0.0,0.0
2024-01-02 10:00:00,0.0,4.8588503959834384e-05,-4.8588503959834384e-05,1.0,0.9998542628127277,1.0001455247100515,0.0,0.0
2024-01-02 10:05:00,-0.0,-0.00019434457292777374,0.00019434457292777374,1.0,0.9996599465630314,1.000339897564917,0.0,0.0
2024-01-02 10:10:00,-0.0,-0.0001943823500826225,0.0001943823500826225,1.0,0.999465630313335,1.000534345985087,0.0,0.0
2024-01-02 10:15:00,-0.0,-9.721007096341605e-05,9.721007096341605e-05,1.0,0.9993684721884868,1.0006316079998616,0.0,0.0
2024-01-02 10:20:00,0.0,0.0,0.0,1.0,0.9993684721884868,1.0006316079998616,0.0,0.0
2024-01-02 10:25:00,-0.0,-0.00024304880419989683,0.00024304880419989683,1.0,0.9991255768763663,1.0008748103156306,0.0,0.0
2024-01-02 10:30:00,0.0,9.724315651293836e-05,-9.724315651293836e-05,1.0,0.9992227350012145,1.0007774820898012,0.0,0.0
2024-01-02 10:35:00,0.0,9.723370120084951e-05,-9.723370120084951e-05,1.0,0.9993198931260627,1.0006801727911392,0.0,0.0
2024-01-02 10:40:00,0.0,0.00014583637159115703,-0.00014583637159115703,1.0,0.9994656303133351,1.000534237225616,0.0,0.0
2024-01-02 10:45:00,-0.0,-9.721007096341605e-05,9.721007096341605e-05,1.0,0.9993684721884869,1.0006314992298182,0.0,0.0
2024-01-02 10:50:00,0.0,0.0,0.0,1.0,0.9993684721884869,1.0006314992298182,0.0,0.0
2024-01-02 10:55:00,0.0,9.721952167995873e-05,-9.721952167995873e-05,1.0,0.9994656303133351,1.000534218314085,0.0,0.0
2024-01-02 11:00:00,-0.0,-0.00024302517740848462,0.00024302517740848462,1.0,0.9992227350012145,1.000777373319994,0.0,0.0
2024-01-02 11:05:00,-0.0,-9.723370120084951e-05,9.723370120084951e-05,1.0,0.9991255768763663,1.00087468260808,0.0,0.0
2024-01-02 11:10:00,-0.0,-0.00019448631302565467,0.00019448631302565467,1.0,0.9989312606266699,1.0010693390349013,0.0,0.0
2024-01-02 11:15:00,-0.0,-4.863103632735122e-05,4.863103632735122e-05,1.0,0.9988826815642459,1.001118022074294,0.0,0.0
2024-01-02 11:20:00,-0.0,-0.00038906721136078293,0.00038906721136078293,1.0,0.9984940490648531,1.0015075242713853,0.0,0.0
2024-01-02 11:25:00,0.0,4.8652330446818937e-05,-4.8652330446818937e-05,1.0,0.9985426281272773,1.0014587985963694,0.0,0.0
2024-01-02 11:30:00,-0.0,-4.864996351261475e-05,4.864996351261475e-05,1.0,0.9984940490648532,1.0015075195303806,0.0,0.0
2024-01-02 13:05:00,-0.0,-9.730466089319378e-05,9.730466089319378e-05,1.0,0.998396890940005,1.0016049708799506,0.0,0.0
2024-01-02 13:10:00,0.0,4.865706500578604e-05,-4.865706500578604e-05,1.0,0.9984454700024291,1.0015562357217724,0.0,0.0
2024-01-02 13:15:00,-0.0,-9.730939522212267e-05,9.730939522212267e-05,1.0,0.9983483118775809,1.0016536965533516,0.0,0.0
2024-01-02 13:20:00,-0.0,-9.731886526198608e-05,9.731886526198608e-05,1.0,0.9982511537527328,1.0017511763544855,0.0,0.0
2024-01-02 13:25:00,0.0,9.732833714526379e-05,-9.732833714526379e-05,1.0,0.9983483118775809,1.0016536775782576,0.0,0.0
2024-01-02 13:30:00,0.0,4.865943263121508e-05,-4.865943263121508e-05,1.0,0.9983968909400052,1.0016049376786138,0.0,0.0
2024-01-02 13:35:00,0.0,0.0,0.0,1.0,0.9983968909400052,1.0016049376786138,0.0,0.0
2024-01-02 13:40:00,0.0,0.0001946282600233662,-0.0001946282600233662,1.0,0.9985912071897015,1.0014099970523627,0.0,0.0
2024-01-02 13:45:00,0.0,0.0,0.0,1.0,0.9985912071897015,1.0014099970523627,0.0,0.0
2024-01-02 13:50:00,0.0,9.729519361756367e-05,-9.729519361756367e-05,1.0,0.9986883653145499,1.001312564672809,0.0,0.0
