S,trend_method,ma_len_days,compare_lag_days,ma_short,ma_long,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,turnover
0.5,price_compare,10.0,,,,0.11587908396714397,0.05296828014983454,0.026213084485005495,2.0206809381831294,-0.01663126012425642,3.1848627075816807,0.5137415420599782,215.0
0.4,price_compare,20.0,,,,0.09982919847385241,0.04601222238994037,0.02611574631345001,1.7618574570945102,-0.02408407836779136,1.9104830040527698,0.5147722435078756,117.0
0.6,price_compare,10.0,,,,0.09332135570594469,0.04316625397995455,0.026214405346367313,1.6466615744131825,-0.02513229342839307,1.7175612764089294,0.5124049786985214,211.0
0.5,price_compare,20.0,,,,0.08447652089422686,0.039265101024376164,0.02611646951287323,1.503461293074922,-0.0240840783677857,1.630334382107652,0.5132189535527268,117.0
0.6,price_compare,20.0,,,,0.06041379122125723,0.02849553873830521,0.0261174962128878,1.0910517036561855,-0.024084078367793138,1.1831691586094228,0.5116863212567585,117.0
0.3,ma_cross,,,10.0,20.0,0.04629089169918288,0.022060344785613688,0.026118040248936446,0.8446401251913228,-0.027514708342911365,0.801765532480998,0.5085994040017029,57.0
0.2,ma_cross,,,10.0,20.0,0.046170675090729585,0.02200519452405578,0.02611804366792309,0.8425284375751882,-0.02816134049731356,0.7813972678663843,0.5080885483184334,57.0
0.2,ma_cross,,,3.0,10.0,0.04496338218424145,0.02145343494791204,0.02621637194528971,0.8183220390938409,-0.018637082291857787,1.1511155347146087,0.5078940773536046,139.0
0.7,price_compare,10.0,,,,0.04393629379408015,0.020981443235343827,0.02621640001743186,0.8003174814769688,-0.02289715487256705,0.9163340752209164,0.5105672040765182,199.0
0.3,ma_cross,,,3.0,20.0,0.04334816481066106,0.020708411347269445,0.02611812159409436,0.7928752177932995,-0.023901286421225132,0.8664140909536857,0.508301404853129,89.0
0.2,ma_cross,,,3.0,20.0,0.04158911466578408,0.019898521306261557,0.026118167861475236,0.7618651282049623,-0.02453203802775683,0.8111238570455226,0.5080459770114942,93.0
0.3,ma_cross,,,3.0,10.0,0.0407588858134158,0.01951835645361313,0.026216483067545104,0.7445070493752088,-0.021593850745042276,0.9038849385441058,0.5077270069334224,135.0
0.7,price_compare,20.0,,,,0.037417773350759465,0.017972528186414972,0.02611818414942274,0.6881231897131025,-0.02601847828730608,0.6907601585286955,0.5101962620801226,113.0
0.4,ma_cross,,,10.0,20.0,0.032914058382286004,0.015884412019875685,0.02611836993609491,0.6081701139366986,-0.027514708342911365,0.5773062109876225,0.5077054065559813,57.0
0.6,ma_compare,3.0,1.0,,,0.032559455709318286,0.015724227591130346,0.02630161902385989,0.5978425729939243,-0.023752579925563677,0.6620008285587188,0.5061309030654515,221.0
0.4,ma_cross,,,3.0,10.0,0.031143757572093422,0.015063550212370635,0.026216698987392074,0.5745784478669446,-0.027461751300523307,0.5485283894506606,0.5077270069334224,131.0
0.5,ma_cross,,,10.0,20.0,0.03076850687261956,0.014886383098229301,0.02611832681406866,0.5699592934954293,-0.02880171587635927,0.516857508147568,0.5067904125335263,57.0
0.6,ma_cross,,,10.0,20.0,0.02830980963821239,0.013740149874467434,0.02611837297632494,0.5260721977943352,-0.02880171587635927,0.477060114524131,0.5060666695048747,57.0
0.5,ma_compare,3.0,1.0,,,0.027846703291880992,0.013528589850411082,0.026302161105526613,0.5143527863027367,-0.02609345611904801,0.5184667676327983,0.5061508511783954,237.0
0.2,ma_cross,,,5.0,30.0,0.027224287731438812,0.013228425141777645,0.025933457772088102,0.5100910668385785,-0.026621125702069537,0.496914566642434,0.5080005203590477,53.0
0.2,ma_cross,,,3.0,30.0,0.026655459390654945,0.012962577745189401,0.025933467637494635,0.49983974092412126,-0.041912747837713815,0.3092753020007304,0.5098651402801266,61.0
0.4,ma_cross,,,3.0,20.0,0.025836565688867497,0.012584300228270817,0.02611850210835906,0.48181554118462605,-0.027809147416179902,0.4525237699645918,0.5075351213282248,89.0
0.3,ma_compare,3.0,1.0,,,0.02571925305261802,0.012534122078740413,0.026302391109168106,0.4765392631687942,-0.024432417516972893,0.5130119469362013,0.5053015241882041,277.0
0.4,ma_compare,3.0,1.0,,,0.02451067356235148,0.011968257048667672,0.026302410478591887,0.4550251034371508,-0.024777182641189666,0.48303542908755104,0.5049701789264414,261.0
0.7,ma_compare,10.0,3.0,,,0.02309114625593356,0.011299693455419263,0.026177623623864804,0.4316546688033939,-0.03410423756812553,0.331328135773373,0.5061021799511826,85.0
0.2,ma_cross,,,5.0,20.0,0.022318189857410964,0.010935392326429276,0.026118556667852334,0.4186828723154122,-0.03373719028448274,0.32413464886134746,0.5064282673478075,73.0
0.3,ma_cross,,,5.0,20.0,0.02214763450268631,0.01085531195420663,0.02611855912278216,0.41561679965484705,-0.034466548446273726,0.31495210409965574,0.5062154108131119,73.0
0.2,ma_compare,3.0,1.0,,,0.021778370259860402,0.010686517650142247,0.026302451043883793,0.4062936048170014,-0.023037236708681186,0.4638801860344308,0.506129887342611,289.0
0.3,ma_cross,,,5.0,30.0,0.0201194993970486,0.009897210119777126,0.02593356692266125,0.3816370555308669,-0.027264977187327788,0.3630008582723902,0.5076102510732405,49.0
0.4,ma_cross,,,5.0,30.0,0.02000096938845708,0.009841113060797334,0.025921121590856265,0.379656143593293,-0.02708187517241134,0.36338373905595006,0.50701046143161,49.0
